dep,jour,P,T,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
39,2020-09-09,10,650,0,260188,3.8433747905360742,62.0,23.828923701323657
39,2020-09-10,8,529,0,260188,3.0746998324288595,65.0,24.981936138484482
39,2020-09-11,13,627,0,260188,4.996387227696896,61.0,23.44458622227005
39,2020-09-12,16,467,0,260188,6.149399664857719,71.0,27.287961012806125
39,2020-09-13,6,95,0,260188,2.3060248743216443,74.0,28.440973449966947
39,2020-09-14,14,624,0,260188,5.380724706750503,83.0,31.900010761449415
39,2020-09-15,10,683,0,260188,3.8433747905360742,77.0,29.59398588712777
39,2020-09-16,18,768,0,260188,6.918074622964934,85.0,32.66868571955663
39,2020-09-17,16,700,0,260188,6.149399664857719,93.0,35.74338555198549
39,2020-09-18,14,562,0,260188,5.380724706750503,94.0,36.127723031039096
39,2020-09-19,4,332,0,260188,1.5373499162144297,82.0,31.515673282395806
39,2020-09-20,1,41,0,260188,0.38433747905360743,77.0,29.59398588712777
39,2020-09-21,22,550,0,260188,8.455424539179363,85.0,32.66868571955663
39,2020-09-22,26,581,0,260188,9.992774455393793,101.0,38.818085384414346
39,2020-09-23,20,539,0,260188,7.6867495810721485,103.0,39.58676034252156
39,2020-09-24,26,502,0,260188,9.992774455393793,113.0,43.43013513305763
39,2020-09-25,19,451,0,260188,7.302412102018541,118.0,45.35182252832567
39,2020-09-26,11,232,0,260188,4.227712269589682,125.0,48.04218488170092
39,2020-09-27,2,43,0,260188,0.7686749581072149,126.0,48.42652236075453
39,2020-09-28,18,364,0,260188,6.918074622964934,122.0,46.8891724445401
39,2020-09-29,21,494,0,260188,8.071087060125755,117.0,44.967485049272064
39,2020-09-30,15,507,0,260188,5.765062185804111,112.0,43.045797654004026
39,2020-10-01,23,498,0,260188,8.83976201823297,109.0,41.89278521684321
39,2020-10-02,29,471,0,260188,11.145786892554614,119.0,45.736160007379276
39,2020-10-03,27,306,0,260188,10.377111934447399,135.0,51.885559672237
39,2020-10-04,1,79,0,260188,0.38433747905360743,134.0,51.501222193183395
39,2020-10-05,20,427,0,260188,7.6867495810721485,136.0,52.26989715129061
39,2020-10-06,32,500,0,260188,12.298799329715438,147.0,56.49760942088029
39,2020-10-07,36,500,0,260188,13.836149245929867,168.0,64.56869648100604
39,2020-10-08,36,510,0,260188,13.836149245929867,181.0,69.56508370870294
39,2020-10-09,73,590,0,260188,28.05663597091334,225.0,86.47593278706167
39,2020-10-10,38,363,0,260188,14.604824204037081,236.0,90.70364505665134
