Commune,Taux d'incidence,Taux de positivité
Genay (21),20 à 50,1 à 5
Poncey-sur-l'Ignon (21),0 à 10,5 à 10
La Comelle (71),10 à 20,0 à 1
Challement (58),50 à 150,1 à 5
Levernois (21),250 à 500,10 à 15
Lamarche-sur-Saône (21),150 à 250,15 à 20
Montreuillon (58),500 à 1000,30 et plus
Arcenant (21),500 à 1000,30 et plus
Chasnay (58),250 à 500,30 et plus
Cézy (89),250 à 500,30 et plus
Sermizelles (89),10 à 20,0 à 1
Alligny-en-Morvan (58),250 à 500,10 à 15
Grosbois-lès-Tichey (21),20 à 50,15 à 20
Mont-Saint-Jean (21),0 à 10,0 à 1
Monceaux-le-Comte (58),500 à 1000,30 et plus
Coulanges-sur-Yonne (89),10 à 20,1 à 5
Frasnay-Reugny (58),10 à 20,0 à 1
Glux-en-Glenne (58),0 à 10,1 à 5
Saint-Didier (58),0 à 10,10 à 15
Mavilly-Mandelot (21),0 à 10,0 à 1
Taillecourt (25),10 à 20,1 à 5
Sainte-Magnance (89),150 à 250,10 à 15
Savigny-lès-Beaune (21),500 à 1000,25 à 30
Saint-André-en-Terre-Plaine (89),0 à 10,0 à 1
Duesme (21),0 à 10,1 à 5
Magny-Cours (58),500 à 1000,25 à 30
Darois (21),250 à 500,15 à 20
Baulme-la-Roche (21),0 à 10,0 à 1
Roche-sur-Linotte-et-Sorans-les-Cordiers (70),250 à 500,15 à 20
Précy-sur-Vrin (89),20 à 50,5 à 10
Courcelles-lès-Semur (21),20 à 50,1 à 5
Frénois (21),10 à 20,30 et plus
Montreux-Château (90),500 à 1000,30 et plus
Germigny-sur-Loire (58),500 à 1000,25 à 30
Brinon-sur-Beuvron (58),20 à 50,1 à 5
Saint-Martin-de-Commune (71),150 à 250,5 à 10
Cruzy-le-Châtel (89),10 à 20,1 à 5
Vermenton (89),500 à 1000,15 à 20
Combertault (21),1000 et plus,30 et plus
Bois-d'Arcy (89),10 à 20,15 à 20
Bretagne (90),50 à 150,1 à 5
Brebotte (90),500 à 1000,20 à 25
Sainte-Marie-la-Blanche (21),250 à 500,20 à 25
Grenois (58),50 à 150,5 à 10
Onlay (58),0 à 10,0 à 1
Villiers-le-Sec (58),0 à 10,0 à 1
Dornecy (58),0 à 10,0 à 1
Premeaux-Prissey (21),500 à 1000,30 et plus
Empury (58),20 à 50,1 à 5
Chailly-sur-Armançon (21),0 à 10,0 à 1
Anthien (58),500 à 1000,30 et plus
La Nocle-Maulaix (58),0 à 10,1 à 5
Pisy (89),10 à 20,0 à 1
Servance-Miellin (70),50 à 150,10 à 15
Vauthiermont (90),500 à 1000,20 à 25
Billy-sur-Oisy (58),250 à 500,20 à 25
Fours (58),0 à 10,0 à 1
Breugnon (58),0 à 10,0 à 1
Chambolle-Musigny (21),1000 et plus,30 et plus
Louesme (21),0 à 10,10 à 15
Source-Seine (21),0 à 10,25 à 30
Turcey (21),500 à 1000,20 à 25
Marcigny-sous-Thil (21),50 à 150,1 à 5
Saint-Jean-aux-Amognes (58),500 à 1000,25 à 30
Courlon (21),1000 et plus,30 et plus
Entrains-sur-Nohain (58),50 à 150,10 à 15
Mouffy (89),0 à 10,0 à 1
Bellenot-sous-Pouilly (21),0 à 10,0 à 1
Limon (58),20 à 50,5 à 10
Dompierre-sur-Nièvre (58),250 à 500,30 et plus
Champlitte (70),500 à 1000,25 à 30
Fouronnes (89),0 à 10,0 à 1
La Bruyère (70),250 à 500,10 à 15
Montbouton (90),500 à 1000,25 à 30
Badevel (25),1000 et plus,30 et plus
Poiseul-la-Grange (21),0 à 10,1 à 5
Bessy-sur-Cure (89),10 à 20,0 à 1
Écot (25),250 à 500,20 à 25
Villegaudin (71),500 à 1000,30 et plus
Annéot (89),500 à 1000,30 et plus
Curtil-Vergy (21),0 à 10,1 à 5
La Postolle (89),20 à 50,1 à 5
Saint-Honoré-les-Bains (58),0 à 10,0 à 1
Tannerre-en-Puisaye (89),0 à 10,0 à 1
Saint-Malo-en-Donziois (58),250 à 500,30 et plus
Saint-Anthot (21),0 à 10,0 à 1
Blismes (58),20 à 50,30 et plus
Saussey (21),50 à 150,30 et plus
Chaudenay-le-Château (21),20 à 50,25 à 30
Quemigny-sur-Seine (21),0 à 10,0 à 1
Montot (21),20 à 50,1 à 5
Magny-la-Ville (21),1000 et plus,30 et plus
Crain (89),1000 et plus,30 et plus
Avot (21),500 à 1000,25 à 30
Ménessaire (21),0 à 10,0 à 1
Cizely (58),20 à 50,1 à 5
Saint-Clément (89),150 à 250,15 à 20
Arcy-sur-Cure (89),0 à 10,0 à 1
Sennevoy-le-Bas (89),50 à 150,10 à 15
Chaignay (21),150 à 250,10 à 15
Fontenois-lès-Montbozon (70),250 à 500,10 à 15
Ternant (58),0 à 10,0 à 1
Breuchotte (70),250 à 500,15 à 20
Messanges (21),250 à 500,30 et plus
Lain (89),0 à 10,1 à 5
Châtel-Censoir (89),10 à 20,5 à 10
Labruyère (21),20 à 50,5 à 10
Frais (90),250 à 500,20 à 25
Sainte-Marie-sur-Ouche (21),500 à 1000,25 à 30
Saint-Gervais-sur-Couches (71),500 à 1000,10 à 15
Avrée (58),0 à 10,0 à 1
Les Bordes (89),150 à 250,10 à 15
Dracy-Saint-Loup (71),20 à 50,1 à 5
Clomot (21),0 à 10,0 à 1
Corcelles-lès-Cîteaux (21),250 à 500,15 à 20
Dracy (89),20 à 50,5 à 10
Hautefond (71),500 à 1000,30 et plus
Corgoloin (21),1000 et plus,30 et plus
Bey (71),500 à 1000,25 à 30
Ormenans (70),150 à 250,10 à 15
Sainte-Marie (25),0 à 10,0 à 1
Cussy-en-Morvan (71),10 à 20,15 à 20
Asnan (58),500 à 1000,30 et plus
Gien-sur-Cure (58),20 à 50,1 à 5
Montsauche-les-Settons (58),250 à 500,10 à 15
Recouvrance (90),0 à 10,1 à 5
Drée (21),0 à 10,5 à 10
Gevrolles (21),1000 et plus,30 et plus
Armeau (89),500 à 1000,25 à 30
Savigny-sur-Seille (71),250 à 500,10 à 15
Arleuf (58),0 à 10,0 à 1
Villars-Fontaine (21),1000 et plus,30 et plus
Liernais (21),250 à 500,20 à 25
Lavault-de-Frétoy (58),50 à 150,1 à 5
Mandeure (25),250 à 500,20 à 25
Mailly-le-Château (89),250 à 500,20 à 25
Longecourt-lès-Culêtre (21),1000 et plus,30 et plus
Mont (71),500 à 1000,10 à 15
Tanlay (89),150 à 250,10 à 15
Lantilly (21),20 à 50,15 à 20
Perrigny (89),250 à 500,20 à 25
Culètre (21),0 à 10,0 à 1
Saussy (21),0 à 10,0 à 1
Pagny-la-Ville (21),20 à 50,1 à 5
Champrenault (21),0 à 10,25 à 30
Viévy (21),250 à 500,15 à 20
Vic-des-Prés (21),1000 et plus,30 et plus
Lagrange (90),500 à 1000,30 et plus
Raddon-et-Chapendu (70),150 à 250,10 à 15
Foussemagne (90),250 à 500,20 à 25
Voudenay (21),0 à 10,0 à 1
Saint-Maurice-en-Rivière (71),250 à 500,15 à 20
Menestreau (58),50 à 150,30 et plus
Semezanges (21),10 à 20,0 à 1
Santosse (21),0 à 10,5 à 10
Corberon (21),250 à 500,30 et plus
Saint-Martin-du-Puy (58),20 à 50,1 à 5
Cussy-le-Châtel (21),0 à 10,0 à 1
Saulon-la-Rue (21),250 à 500,15 à 20
Bouix (21),0 à 10,0 à 1
Dommartin (58),10 à 20,1 à 5
Vaumort (89),500 à 1000,25 à 30
Dannemarie (25),10 à 20,15 à 20
Ruages (58),1000 et plus,30 et plus
Vignol (58),0 à 10,1 à 5
Jeux-lès-Bard (21),50 à 150,15 à 20
Cordesse (71),500 à 1000,30 et plus
Origny (21),0 à 10,0 à 1
Bussy-la-Pesle (21),0 à 10,0 à 1
Framont (70),500 à 1000,30 et plus
Échevannes (21),20 à 50,1 à 5
Dompierre-en-Morvan (21),50 à 150,10 à 15
Reppe (90),20 à 50,5 à 10
Aisy-sur-Armançon (89),250 à 500,15 à 20
Brosses (89),500 à 1000,30 et plus
Issans (25),1000 et plus,25 à 30
Le Val-Larrey (21),50 à 150,5 à 10
Saint-André-en-Bresse (71),250 à 500,15 à 20
Arzembouy (58),20 à 50,1 à 5
Tancon (71),500 à 1000,25 à 30
Villedieu (21),0 à 10,10 à 15
Quincerot (89),0 à 10,1 à 5
Aignay-le-Duc (21),1000 et plus,30 et plus
Thory (89),10 à 20,1 à 5
Sacquenay (21),250 à 500,30 et plus
Trivy (71),20 à 50,5 à 10
Berche (25),250 à 500,10 à 15
Fertrève (58),20 à 50,10 à 15
Trugny (21),20 à 50,1 à 5
Mélisey (89),50 à 150,5 à 10
Fontangy (21),50 à 150,5 à 10
Forléans (21),20 à 50,5 à 10
Antheuil (21),20 à 50,25 à 30
Brassy (58),250 à 500,5 à 10
Saint-Moré (89),0 à 10,1 à 5
Saint-Prix (71),10 à 20,1 à 5
Lanty (58),0 à 10,0 à 1
Manlay (21),0 à 10,0 à 1
Grosbois-en-Montagne (21),1000 et plus,30 et plus
Molinot (21),0 à 10,0 à 1
Tharot (89),1000 et plus,30 et plus
Vaudebarrier (71),10 à 20,1 à 5
Musigny (21),0 à 10,0 à 1
Rully (71),50 à 150,5 à 10
Pasques (21),250 à 500,20 à 25
Braux (21),50 à 150,10 à 15
Cry (89),150 à 250,20 à 25
Monthelie (21),1000 et plus,30 et plus
Asnières-sous-Bois (89),10 à 20,15 à 20
Chazeuil (21),0 à 10,0 à 1
La Motte-Ternant (21),500 à 1000,30 et plus
Lechâtelet (21),250 à 500,30 et plus
Saint-Bonnet-de-Cray (71),500 à 1000,15 à 20
Cormot-Vauchignon (21),500 à 1000,30 et plus
Saint-Germain-de-Modéon (21),0 à 10,0 à 1
Marmeaux (89),0 à 10,5 à 10
Phaffans (90),20 à 50,1 à 5
Égriselles-le-Bocage (89),500 à 1000,20 à 25
Merry-sur-Yonne (89),500 à 1000,30 et plus
Larochemillay (58),0 à 10,0 à 1
Éguilly (21),0 à 10,0 à 1
Merry-Sec (89),0 à 10,0 à 1
Petit-Croix (90),500 à 1000,25 à 30
Anlezy (58),20 à 50,1 à 5
Autrechêne (90),10 à 20,1 à 5
Baon (89),20 à 50,0 à 1
Neuilly (58),50 à 150,30 et plus
