dep,jour,P,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
71,2020-06-12,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-06-13,0,0,547824.0,0.0,5.0,0.9127018896579923
71,2020-06-14,1,0,547824.0,0.18254037793159847,6.0,1.095242267589591
71,2020-06-15,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-06-16,1,0,547824.0,0.18254037793159847,6.0,1.095242267589591
71,2020-06-17,0,0,547824.0,0.0,4.0,0.7301615117263939
71,2020-06-18,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-06-19,2,0,547824.0,0.36508075586319694,6.0,1.095242267589591
71,2020-06-20,0,0,547824.0,0.0,6.0,1.095242267589591
71,2020-06-21,1,0,547824.0,0.18254037793159847,6.0,1.095242267589591
71,2020-06-22,0,0,547824.0,0.0,5.0,0.9127018896579923
71,2020-06-23,0,0,547824.0,0.0,4.0,0.7301615117263939
71,2020-06-24,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-06-25,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-06-26,1,0,547824.0,0.18254037793159847,4.0,0.7301615117263939
71,2020-06-27,4,0,547824.0,0.7301615117263939,8.0,1.4603230234527877
71,2020-06-28,1,0,547824.0,0.18254037793159847,8.0,1.4603230234527877
71,2020-06-29,3,0,547824.0,0.5476211337947955,11.0,2.007944157247583
71,2020-06-30,5,0,547824.0,0.9127018896579923,16.0,2.9206460469055755
71,2020-07-01,1,0,547824.0,0.18254037793159847,16.0,2.9206460469055755
71,2020-07-02,3,0,547824.0,0.5476211337947955,18.0,3.2857268027687727
71,2020-07-03,2,0,547824.0,0.36508075586319694,19.0,3.4682671807003707
71,2020-07-04,1,0,547824.0,0.18254037793159847,16.0,2.9206460469055755
71,2020-07-05,0,0,547824.0,0.0,15.0,2.738105668973977
71,2020-07-06,3,0,547824.0,0.5476211337947955,15.0,2.738105668973977
71,2020-07-07,3,0,547824.0,0.5476211337947955,13.0,2.37302491311078
71,2020-07-08,5,0,547824.0,0.9127018896579923,17.0,3.1031864248371743
71,2020-07-09,0,0,547824.0,0.0,14.0,2.5555652910423787
71,2020-07-10,3,0,547824.0,0.5476211337947955,15.0,2.738105668973977
71,2020-07-11,0,0,547824.0,0.0,14.0,2.5555652910423787
71,2020-07-12,0,0,547824.0,0.0,14.0,2.5555652910423787
71,2020-07-13,3,0,547824.0,0.5476211337947955,14.0,2.5555652910423787
71,2020-07-14,0,0,547824.0,0.0,11.0,2.007944157247583
71,2020-07-15,2,0,547824.0,0.36508075586319694,8.0,1.4603230234527877
71,2020-07-16,2,0,547824.0,0.36508075586319694,10.0,1.8254037793159845
71,2020-07-17,1,0,547824.0,0.18254037793159847,8.0,1.4603230234527877
71,2020-07-18,0,0,547824.0,0.0,8.0,1.4603230234527877
71,2020-07-19,0,0,547824.0,0.0,8.0,1.4603230234527877
71,2020-07-20,0,0,547824.0,0.0,5.0,0.9127018896579923
71,2020-07-21,1,0,547824.0,0.18254037793159847,6.0,1.095242267589591
71,2020-07-22,2,0,547824.0,0.36508075586319694,6.0,1.095242267589591
71,2020-07-23,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-07-24,1,0,547824.0,0.18254037793159847,5.0,0.9127018896579923
71,2020-07-25,2,0,547824.0,0.36508075586319694,7.0,1.2777826455211894
71,2020-07-26,1,0,547824.0,0.18254037793159847,8.0,1.4603230234527877
71,2020-07-27,6,0,547824.0,1.095242267589591,14.0,2.5555652910423787
71,2020-07-28,1,0,547824.0,0.18254037793159847,14.0,2.5555652910423787
71,2020-07-29,2,0,547824.0,0.36508075586319694,14.0,2.5555652910423787
71,2020-07-30,4,0,547824.0,0.7301615117263939,17.0,3.1031864248371743
71,2020-07-31,0,0,547824.0,0.0,16.0,2.9206460469055755
71,2020-08-01,1,0,547824.0,0.18254037793159847,15.0,2.738105668973977
71,2020-08-02,1,0,547824.0,0.18254037793159847,15.0,2.738105668973977
71,2020-08-03,1,0,547824.0,0.18254037793159847,10.0,1.8254037793159845
71,2020-08-04,2,0,547824.0,0.36508075586319694,11.0,2.007944157247583
71,2020-08-05,4,0,547824.0,0.7301615117263939,13.0,2.37302491311078
71,2020-08-06,0,0,547824.0,0.0,9.0,1.6428634013843864
71,2020-08-07,3,0,547824.0,0.5476211337947955,12.0,2.190484535179182
71,2020-08-08,3,0,547824.0,0.5476211337947955,14.0,2.5555652910423787
71,2020-08-09,1,0,547824.0,0.18254037793159847,14.0,2.5555652910423787
71,2020-08-10,6,0,547824.0,1.095242267589591,19.0,3.4682671807003707
71,2020-08-11,6,0,547824.0,1.095242267589591,23.0,4.198428692426765
71,2020-08-12,5,0,547824.0,0.9127018896579923,24.0,4.380969070358364
71,2020-08-13,10,0,547824.0,1.8254037793159845,34.0,6.206372849674349
71,2020-08-14,9,0,547824.0,1.6428634013843864,40.0,7.301615117263938
71,2020-08-15,1,0,547824.0,0.18254037793159847,38.0,6.936534361400741
71,2020-08-16,5,0,547824.0,0.9127018896579923,42.0,7.666695873127136
71,2020-08-17,21,0,547824.0,3.833347936563568,57.0,10.404801542101113
71,2020-08-18,16,0,547824.0,2.9206460469055755,67.0,12.230205321417097
