geometry,INSEE_COM,INSEE_DEP,NOM_COM_OK,fin_periode,clage_65,ti_classe,tp_classe,td_classe
"{""type"":""Polygon"",""coordinates"":[[[5.649901,46.33415],[5.653587,46.332947],[5.656742,46.341888],[5.649493,46.346106],[5.649255,46.351956],[5.643008,46.35914],[5.637806,46.359533],[5.634232,46.351758],[5.627072,46.340355],[5.630229,46.336939],[5.637458,46.336441],[5.642494,46.344112],[5.649709,46.340711],[5.649901,46.33415]]]}",39102,39,Chancia (39),31/10,65,0 à 10,0 à 1,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.341948,47.806159],[3.337775,47.809127],[3.323765,47.80724],[3.318105,47.803113],[3.305007,47.800129],[3.297261,47.796763],[3.287664,47.800123],[3.279711,47.800856],[3.269833,47.798046],[3.279021,47.790423],[3.283859,47.780275],[3.28327,47.769566],[3.296359,47.7692],[3.2993,47.767152],[3.31289,47.76614],[3.313953,47.769548],[3.329679,47.77467],[3.353914,47.78476],[3.353924,47.795053],[3.35398,47.797612],[3.341948,47.806159]]]}",89251,89,Merry-la-Vallée (89),31/10,65,20 à 50,10 à 15,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.616469,47.162823],[4.610029,47.163373],[4.60778,47.163238],[4.593558,47.147762],[4.593034,47.144622],[4.600662,47.143891],[4.607621,47.139956],[4.622393,47.136943],[4.629551,47.134274],[4.634907,47.14019],[4.642629,47.139303],[4.64317,47.139706],[4.661712,47.143636],[4.665395,47.14597],[4.660161,47.1492],[4.651246,47.147279],[4.645224,47.150068],[4.638864,47.156517],[4.627513,47.160699],[4.616469,47.162823]]]}",21476,21,Painblanc (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.435107,47.435818],[3.442476,47.442117],[3.437522,47.450183],[3.4282,47.456598],[3.421264,47.458901],[3.405534,47.460563],[3.404148,47.463573],[3.397847,47.464888],[3.387893,47.469892],[3.370136,47.46527],[3.364743,47.461651],[3.358561,47.455029],[3.360833,47.451636],[3.37495,47.444113],[3.386994,47.443764],[3.41318,47.43871],[3.41796,47.438909],[3.435107,47.435818]]]}",58299,58,Trucy-l'Orgueilleux (58),31/10,65,0 à 10,15 à 20,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[5.101772,47.023758],[5.108042,47.018121],[5.113918,47.008552],[5.11454,46.999491],[5.12171,46.997759],[5.131834,46.999742],[5.139593,46.995717],[5.14104,46.990005],[5.144204,46.991345],[5.141712,47.000409],[5.133116,47.00591],[5.12984,47.016415],[5.119632,47.021871],[5.116345,47.029952],[5.108769,47.029551],[5.10515,47.026953],[5.101772,47.023758]]]}",21502,21,Pouilly-sur-Saône (21),31/10,65,0 à 10,0 à 1,800 à 1000
"{""type"":""Polygon"",""coordinates"":[[[4.794884,47.217594],[4.7935,47.213308],[4.783413,47.202657],[4.799855,47.19021],[4.813556,47.189374],[4.82551,47.191099],[4.847039,47.186962],[4.853406,47.184714],[4.867673,47.18275],[4.871444,47.192411],[4.880829,47.194598],[4.880817,47.200414],[4.884632,47.206775],[4.88336,47.208366],[4.876537,47.208767],[4.868891,47.205161],[4.8626,47.208693],[4.84515,47.209514],[4.836907,47.206509],[4.820981,47.210639],[4.81229,47.214185],[4.794884,47.217594]]]}",21625,21,Ternant (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[5.099558,46.654959],[5.107596,46.657538],[5.122624,46.655705],[5.124865,46.660441],[5.115519,46.665045],[5.119399,46.66992],[5.128359,46.674784],[5.132251,46.685128],[5.142556,46.687813],[5.14826,46.692622],[5.143109,46.69409],[5.108358,46.709289],[5.106888,46.705381],[5.097872,46.703423],[5.097783,46.694512],[5.085543,46.686944],[5.098234,46.672364],[5.09407,46.663475],[5.099558,46.654959]]]}",71319,71,Montret (71),31/10,65,250 à 500,10 à 15,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[4.663809,47.1742],[4.655755,47.170077],[4.656267,47.164013],[4.662246,47.162423],[4.670434,47.162705],[4.679452,47.160729],[4.693463,47.164408],[4.699565,47.167998],[4.679266,47.173596],[4.676333,47.178425],[4.668779,47.177723],[4.663809,47.1742]]]}",21184,21,Colombier (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[5.01426,47.144482],[5.020296,47.141254],[5.021406,47.134084],[5.0299,47.125249],[5.055653,47.123669],[5.064627,47.128928],[5.064115,47.141989],[5.066577,47.145435],[5.048891,47.15642],[5.046384,47.157164],[5.044201,47.154617],[5.035186,47.15663],[5.02537,47.152338],[5.021489,47.148138],[5.015182,47.149086],[5.01426,47.144482]]]}",21691,21,Villebichot (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.458321,47.244196],[4.464729,47.237509],[4.473349,47.232536],[4.48149,47.225046],[4.483283,47.219265],[4.495866,47.215108],[4.495114,47.210849],[4.498259,47.209986],[4.508008,47.216704],[4.505161,47.222991],[4.508911,47.229464],[4.504517,47.235875],[4.50766,47.243774],[4.494593,47.253334],[4.487423,47.261385],[4.472942,47.256255],[4.461069,47.245181],[4.458321,47.244196]]]}",21153,21,Châtellenot (21),31/10,65,0 à 10,1 à 5,0 à 300
