jour,P,pop,positif_7j,taux_incid_7j
2020-10-02,386,2783039.0,1895.0,68.09103286012162
2020-10-03,203,2783039.0,1936.0,69.56424254205564
2020-10-04,34,2783039.0,1926.0,69.2049231074376
2020-10-05,487,2783039.0,2086.0,74.95403406132648
2020-10-06,391,2783039.0,2198.0,78.9784117290487
2020-10-07,578,2783039.0,2406.0,86.45225596910429
2020-10-08,528,2783039.0,2607.0,93.67457660492721
2020-10-09,711,2783039.0,2932.0,105.35245823001404
2020-10-10,329,2783039.0,3058.0,109.87988310620152
2020-10-11,67,2783039.0,3091.0,111.06563724044112
2020-10-12,960,2783039.0,3564.0,128.06144649787518
2020-10-13,911,2783039.0,4084.0,146.7460570980141
2020-10-14,932,2783039.0,4438.0,159.46596508349327
2020-10-15,1040,2783039.0,4950.0,177.86312013593772
2020-10-16,1201,2783039.0,5440.0,195.46977243222247
2020-10-17,698,2783039.0,5809.0,208.72865956962872
2020-10-18,127,2783039.0,5869.0,210.88457617733707
2020-10-19,1577,2783039.0,6486.0,233.05458529327112
2020-10-20,1776,2783039.0,7351.0,264.13571638773294
2020-10-21,1982,2783039.0,8401.0,301.86425702262886
2020-10-22,2080,2783039.0,9441.0,339.2334782229067
2020-10-23,2355,2783039.0,10595.0,380.6989409778304
2020-10-24,1243,2783039.0,11140.0,400.28185016451437
2020-10-25,332,2783039.0,11345.0,407.6478985741845
2020-10-26,3136,2783039.0,12904.0,463.66579843113954
2020-10-27,2911,2783039.0,14039.0,504.44855426028886
2020-10-28,2628,2783039.0,14685.0,527.6605897366153
2020-10-29,2619,2783039.0,15224.0,547.0279072625285
2020-10-30,2838,2783039.0,15707.0,564.3830359545806
2020-10-31,1686,2783039.0,16150.0,580.3008869081605
2020-11-01,307,2783039.0,16125.0,579.4025883216153
2020-11-02,3813,2783039.0,16802.0,603.7285140452577
2020-11-03,3311,2783039.0,17202.0,618.1012914299799
2020-11-04,2923,2783039.0,17497.0,628.7012147512127
2020-11-05,2694,2783039.0,17572.0,631.396110510848
2020-11-06,2559,2783039.0,17293.0,621.3710982850042
2020-11-07,1210,2783039.0,16817.0,604.2674931971849
2020-11-08,269,2783039.0,16779.0,602.9020793456361
2020-11-09,2707,2783039.0,15673.0,563.1613498768792
2020-11-10,2417,2783039.0,14779.0,531.038192422025
2020-11-11,241,2783039.0,12097.0,434.6687200574624
2020-11-12,2193,2783039.0,11596.0,416.66681638309774
2020-11-13,1860,2783039.0,10897.0,391.55038790329564
2020-11-14,740,2783039.0,10427.0,374.662374476247
2020-11-15,145,2783039.0,10303.0,370.2068134869831
2020-11-16,1698,2783039.0,9294.0,333.95148253402124
2020-11-17,1362,2783039.0,8239.0,296.0432821818164
2020-11-18,1049,2783039.0,9047.0,325.0762924989553
2020-11-19,1002,2783039.0,7856.0,282.2813478359448
2020-11-20,897,2783039.0,6893.0,247.678886282226
2020-11-21,429,2783039.0,6582.0,236.50405186560448
2020-11-22,93,2783039.0,6530.0,234.63559080559057
2020-11-23,926,2783039.0,5758.0,206.89613045307667
