geometry,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,POPULATION,NOM_COM
"{""type"":""Polygon"",""coordinates"":[[[4.134852,46.716182],[4.159302,46.724272],[4.177877,46.708944],[4.171293,46.73945],[4.153134,46.761463],[4.125841,46.751778],[4.12458,46.734226],[4.134852,46.716182]]]}",71046,71,27,200070530,100,La Boulaye
"{""type"":""Polygon"",""coordinates"":[[[4.739249,46.889982],[4.734175,46.904846],[4.720226,46.896756],[4.718487,46.876674],[4.739249,46.889982]]]}",71051,71,27,247100589,137,Bouzeron
"{""type"":""Polygon"",""coordinates"":[[[3.105798,48.108519],[3.09172,48.127968],[3.05724,48.145356],[3.023119,48.13567],[3.0159,48.115796],[3.034431,48.115776],[3.042905,48.093377],[3.049887,48.088671],[3.088161,48.10083],[3.105798,48.108519]]]}",89144,89,27,248900748,819,Domats
"{""type"":""Polygon"",""coordinates"":[[[6.157639,47.591992],[6.149279,47.58118],[6.169592,47.567563],[6.192494,47.586147],[6.177708,47.595185],[6.157639,47.591992]]]}",70203,70,27,200041853,142,La Demie
"{""type"":""Polygon"",""coordinates"":[[[5.962593,46.793677],[5.961574,46.779468],[5.957494,46.766978],[5.966028,46.767691],[5.982623,46.78897],[5.997755,46.808464],[5.975031,46.818479],[5.965191,46.820091],[5.964193,46.805377],[5.962593,46.793677]]]}",39381,39,27,200069623,91,Les Nans
"{""type"":""Polygon"",""coordinates"":[[[6.045503,46.9954],[6.007561,46.987749],[6.026814,46.976923],[6.016617,46.967745],[6.029584,46.970795],[6.053937,46.976099],[6.059738,46.978786],[6.045503,46.9954]]]}",25404,25,27,200068070,93,Montmahoux
"{""type"":""Polygon"",""coordinates"":[[[6.02815,46.488806],[6.073147,46.447782],[6.086298,46.443464],[6.073105,46.464151],[6.096901,46.4813],[6.120767,46.516972],[6.097686,46.530269],[6.079523,46.538747],[6.058924,46.5222],[6.028968,46.510554],[6.02815,46.488806]]]}",39470,39,27,243900354,3630,Les Rousses
"{""type"":""Polygon"",""coordinates"":[[[3.593917,48.178677],[3.624864,48.163231],[3.650654,48.168228],[3.640508,48.184619],[3.619651,48.190886],[3.593917,48.178677]]]}",89065,89,27,248900664,40,Cérilly
"{""type"":""Polygon"",""coordinates"":[[[6.617612,47.531173],[6.618009,47.527447],[6.634987,47.505504],[6.674077,47.501013],[6.684332,47.51594],[6.681713,47.520281],[6.681329,47.521625],[6.653688,47.541592],[6.648115,47.536113],[6.617612,47.531173]]]}",25022,25,27,200068294,1441,Arcey
"{""type"":""Polygon"",""coordinates"":[[[5.439124,47.020257],[5.446237,47.007276],[5.494694,47.011328],[5.51278,47.016697],[5.511192,47.02262],[5.497128,47.033879],[5.470509,47.037011],[5.461663,47.028961],[5.439124,47.020257]]]}",39405,39,27,200010650,974,Parcey
"{""type"":""Polygon"",""coordinates"":[[[4.848222,47.118697],[4.83283,47.114216],[4.795139,47.123878],[4.794318,47.117576],[4.838149,47.091818],[4.858208,47.093813],[4.865451,47.103224],[4.858881,47.110308],[4.848222,47.118697]]]}",21241,21,27,200006682,284,Échevronne
"{""type"":""Polygon"",""coordinates"":[[[3.79305,47.444783],[3.804402,47.44843],[3.81129,47.454322],[3.810302,47.475592],[3.789737,47.489868],[3.773689,47.47106],[3.753902,47.472533],[3.736422,47.453629],[3.738178,47.439823],[3.773941,47.44816],[3.79305,47.444783]]]}",89364,89,27,200039758,310,Saint-Père
"{""type"":""Polygon"",""coordinates"":[[[4.273254,46.906265],[4.27087,46.89514],[4.288442,46.86396],[4.312742,46.859288],[4.347813,46.864489],[4.351612,46.882471],[4.338304,46.903779],[4.313404,46.916199],[4.284136,46.921305],[4.273254,46.906265]]]}",71063,71,27,200070530,762,Broye
"{""type"":""Polygon"",""coordinates"":[[[6.170735,47.546524],[6.17298,47.549062],[6.169592,47.567563],[6.149279,47.58118],[6.121424,47.575023],[6.121002,47.574485],[6.138089,47.570809],[6.170735,47.546524]]]}",70517,70,27,200041853,370,Vallerois-Lorioz
"{""type"":""Polygon"",""coordinates"":[[[5.75482,47.625521],[5.778856,47.633943],[5.782946,47.642415],[5.756652,47.656593],[5.747202,47.638873],[5.75482,47.625521]]]}",70442,70,27,247000623,105,Renaucourt
"{""type"":""Polygon"",""coordinates"":[[[5.535389,47.010549],[5.519557,46.985806],[5.54608,46.980492],[5.532005,46.957357],[5.556816,46.940687],[5.566491,46.939641],[5.576708,46.964428],[5.563336,46.979676],[5.583193,46.995276],[5.569613,47.006311],[5.535389,47.010549]]]}",39520,39,27,243900420,483,Souvans
"{""type"":""Polygon"",""coordinates"":[[[3.374107,48.03827],[3.349498,48.041174],[3.318993,48.035211],[3.310602,48.023419],[3.299528,48.011593],[3.329886,48.023023],[3.37253,48.025795],[3.392205,48.034014],[3.374107,48.03827]]]}",89468,89,27,248900938,424,Villevallier
"{""type"":""Polygon"",""coordinates"":[[[6.853665,47.28897],[6.867966,47.303902],[6.858888,47.309623],[6.84646,47.319093],[6.815173,47.310593],[6.810443,47.28666],[6.826273,47.278007],[6.853665,47.28897]]]}",25387,25,27,200023075,405,Montandon
