dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
39,0,2020-05-16,64,3,58,39
58,0,2020-05-16,38,3,25,58
70,0,2020-05-16,78,2,76,70
71,0,2020-05-16,181,14,185,71
89,0,2020-05-16,109,13,74,89
90,0,2020-05-16,112,13,168,90
21,0,2020-05-17,119,22,235,21
25,0,2020-05-17,108,24,138,25
39,0,2020-05-17,64,3,58,39
58,0,2020-05-17,38,3,25,58
70,0,2020-05-17,78,2,76,70
71,0,2020-05-17,181,14,185,71
89,0,2020-05-17,109,13,74,89
90,0,2020-05-17,113,13,168,90
21,0,2020-05-18,119,22,235,21
25,0,2020-05-18,95,20,142,25
39,0,2020-05-18,63,2,58,39
58,0,2020-05-18,38,3,25,58
70,0,2020-05-18,77,3,77,70
71,0,2020-05-18,185,11,187,71
89,0,2020-05-18,106,12,77,89
90,0,2020-05-18,114,13,168,90
21,0,2020-05-19,108,20,237,21
25,0,2020-05-19,90,17,144,25
39,0,2020-05-19,58,1,58,39
58,0,2020-05-19,38,3,25,58
70,0,2020-05-19,73,2,77,70
71,0,2020-05-19,179,10,191,71
89,0,2020-05-19,103,10,78,89
90,0,2020-05-19,109,12,168,90
21,0,2020-05-20,106,20,238,21
25,0,2020-05-20,86,16,144,25
39,0,2020-05-20,56,0,58,39
58,0,2020-05-20,29,2,25,58
70,0,2020-05-20,72,1,77,70
71,0,2020-05-20,171,10,191,71
89,0,2020-05-20,100,10,79,89
90,0,2020-05-20,110,11,168,90
21,0,2020-05-21,104,20,238,21
25,0,2020-05-21,83,14,144,25
39,0,2020-05-21,56,0,58,39
58,0,2020-05-21,24,2,25,58
70,0,2020-05-21,72,1,77,70
71,0,2020-05-21,169,9,191,71
89,0,2020-05-21,101,10,81,89
90,0,2020-05-21,75,11,169,90
21,0,2020-05-22,98,17,239,21
25,0,2020-05-22,80,12,146,25
39,0,2020-05-22,55,0,59,39
58,0,2020-05-22,24,2,25,58
70,0,2020-05-22,72,1,77,70
71,0,2020-05-22,162,10,191,71
89,0,2020-05-22,94,9,82,89
90,0,2020-05-22,76,11,169,90
21,0,2020-05-23,99,17,239,21
25,0,2020-05-23,76,14,146,25
39,0,2020-05-23,55,0,59,39
58,0,2020-05-23,24,2,25,58
70,0,2020-05-23,72,0,77,70
71,0,2020-05-23,162,10,191,71
89,0,2020-05-23,98,9,82,89
90,0,2020-05-23,72,10,169,90
21,0,2020-05-24,99,17,239,21
25,0,2020-05-24,76,14,146,25
39,0,2020-05-24,55,0,59,39
58,0,2020-05-24,23,2,26,58
70,0,2020-05-24,72,0,77,70
71,0,2020-05-24,161,10,191,71
89,0,2020-05-24,99,9,82,89
90,0,2020-05-24,71,9,170,90
21,0,2020-05-25,84,14,239,21
25,0,2020-05-25,75,13,146,25
39,0,2020-05-25,55,0,59,39
58,0,2020-05-25,23,2,26,58
70,0,2020-05-25,62,0,77,70
71,0,2020-05-25,159,12,193,71
89,0,2020-05-25,94,9,83,89
90,0,2020-05-25,72,8,171,90
21,0,2020-05-26,66,13,241,21
25,0,2020-05-26,61,12,146,25
39,0,2020-05-26,24,0,60,39
58,0,2020-05-26,21,2,26,58
70,0,2020-05-26,48,0,77,70
71,0,2020-05-26,147,10,193,71
89,0,2020-05-26,78,9,83,89
90,0,2020-05-26,69,8,171,90
21,0,2020-05-27,53,11,241,21
25,0,2020-05-27,43,12,147,25
39,0,2020-05-27,21,0,60,39
58,0,2020-05-27,18,1,27,58
70,0,2020-05-27,49,0,77,70
71,0,2020-05-27,142,9,193,71
89,0,2020-05-27,80,9,84,89
90,0,2020-05-27,61,7,172,90
21,0,2020-05-28,48,9,241,21
25,0,2020-05-28,39,13,148,25
39,0,2020-05-28,20,0,61,39
58,0,2020-05-28,17,1,27,58
70,0,2020-05-28,48,0,77,70
71,0,2020-05-28,139,9,193,71
89,0,2020-05-28,78,9,84,89
90,0,2020-05-28,59,7,173,90
21,0,2020-05-29,44,8,242,21
25,0,2020-05-29,37,10,148,25
39,0,2020-05-29,29,0,61,39
58,0,2020-05-29,8,1,27,58
70,0,2020-05-29,49,0,77,70
71,0,2020-05-29,130,6,195,71
89,0,2020-05-29,70,9,84,89
90,0,2020-05-29,55,6,174,90
21,0,2020-05-30,44,7,243,21
25,0,2020-05-30,33,5,148,25
39,0,2020-05-30,27,0,61,39
58,0,2020-05-30,11,1,27,58
70,0,2020-05-30,50,0,77,70
71,0,2020-05-30,130,6,195,71
89,0,2020-05-30,69,9,84,89
90,0,2020-05-30,57,6,174,90
21,0,2020-05-31,44,7,243,21
25,0,2020-05-31,33,5,148,25
39,0,2020-05-31,27,0,61,39
58,0,2020-05-31,11,1,27,58
70,0,2020-05-31,50,0,77,70
71,0,2020-05-31,130,6,195,71
89,0,2020-05-31,64,9,84,89
90,0,2020-05-31,57,6,175,90
21,0,2020-06-01,45,7,243,21
25,0,2020-06-01,33,5,148,25
39,0,2020-06-01,27,0,61,39
58,0,2020-06-01,11,1,27,58
70,0,2020-06-01,50,0,77,70
71,0,2020-06-01,130,6,195,71
89,0,2020-06-01,63,9,85,89
90,0,2020-06-01,56,6,175,90
21,0,2020-06-02,44,5,243,21
25,0,2020-06-02,32,5,148,25
39,0,2020-06-02,24,0,61,39
58,0,2020-06-02,11,1,27,58
70,0,2020-06-02,46,0,77,70
71,0,2020-06-02,120,6,195,71
89,0,2020-06-02,60,9,86,89
90,0,2020-06-02,53,6,176,90
21,0,2020-06-03,41,5,244,21
25,0,2020-06-03,29,5,148,25
39,0,2020-06-03,24,0,61,39
58,0,2020-06-03,12,1,27,58
70,0,2020-06-03,41,0,77,70
71,0,2020-06-03,102,6,197,71
89,0,2020-06-03,53,8,87,89
90,0,2020-06-03,49,4,176,90
21,0,2020-06-04,42,5,246,21
25,0,2020-06-04,28,5,148,25
39,0,2020-06-04,23,0,61,39
58,0,2020-06-04,12,1,27,58
70,0,2020-06-04,40,0,77,70
71,0,2020-06-04,100,6,197,71
89,0,2020-06-04,49,5,89,89
90,0,2020-06-04,43,4,177,90
21,0,2020-06-05,37,3,246,21
25,0,2020-06-05,29,6,148,25
39,0,2020-06-05,20,0,61,39
58,0,2020-06-05,12,1,27,58
70,0,2020-06-05,39,0,77,70
71,0,2020-06-05,97,6,197,71
89,0,2020-06-05,51,5,89,89
90,0,2020-06-05,43,4,177,90
21,0,2020-06-06,35,2,247,21
25,0,2020-06-06,29,6,148,25
39,0,2020-06-06,20,0,60,39
58,0,2020-06-06,12,1,27,58
70,0,2020-06-06,35,0,77,70
71,0,2020-06-06,97,6,197,71
89,0,2020-06-06,53,5,89,89
90,0,2020-06-06,43,4,177,90
21,0,2020-06-07,35,2,247,21
25,0,2020-06-07,28,5,148,25
39,0,2020-06-07,21,0,60,39
58,0,2020-06-07,12,1,27,58
70,0,2020-06-07,35,0,77,70
71,0,2020-06-07,97,6,197,71
89,0,2020-06-07,54,5,89,89
90,0,2020-06-07,42,4,177,90
21,0,2020-06-08,34,1,247,21
25,0,2020-06-08,28,4,148,25
