jour,Département,Hospitalisations,Réanimations
2020-06-01,Territoire de Belfort,56,6
2020-06-02,Côte-d'Or,44,5
2020-06-02,Doubs,32,5
2020-06-02,Jura,24,0
2020-06-02,Nièvre,11,1
2020-06-02,Haute-Saône,46,0
2020-06-02,Saône-et-Loire,120,6
2020-06-02,Yonne,60,9
2020-06-02,Territoire de Belfort,53,6
2020-06-03,Côte-d'Or,41,5
2020-06-03,Doubs,29,5
2020-06-03,Jura,24,0
2020-06-03,Nièvre,12,1
2020-06-03,Haute-Saône,41,0
2020-06-03,Saône-et-Loire,102,6
2020-06-03,Yonne,53,8
2020-06-03,Territoire de Belfort,49,4
2020-06-04,Côte-d'Or,42,5
2020-06-04,Doubs,28,5
2020-06-04,Jura,23,0
2020-06-04,Nièvre,12,1
2020-06-04,Haute-Saône,40,0
2020-06-04,Saône-et-Loire,100,6
2020-06-04,Yonne,49,5
2020-06-04,Territoire de Belfort,43,4
2020-06-05,Côte-d'Or,37,3
2020-06-05,Doubs,29,6
2020-06-05,Jura,20,0
2020-06-05,Nièvre,12,1
2020-06-05,Haute-Saône,39,0
2020-06-05,Saône-et-Loire,97,6
2020-06-05,Yonne,51,5
2020-06-05,Territoire de Belfort,43,4
2020-06-06,Côte-d'Or,35,2
2020-06-06,Doubs,29,6
2020-06-06,Jura,20,0
2020-06-06,Nièvre,12,1
2020-06-06,Haute-Saône,35,0
2020-06-06,Saône-et-Loire,97,6
2020-06-06,Yonne,53,5
2020-06-06,Territoire de Belfort,43,4
2020-06-07,Côte-d'Or,35,2
2020-06-07,Doubs,28,5
2020-06-07,Jura,21,0
2020-06-07,Nièvre,12,1
2020-06-07,Haute-Saône,35,0
2020-06-07,Saône-et-Loire,97,6
2020-06-07,Yonne,54,5
2020-06-07,Territoire de Belfort,42,4
2020-06-08,Côte-d'Or,34,1
2020-06-08,Doubs,28,4
2020-06-08,Jura,20,0
2020-06-08,Nièvre,11,1
2020-06-08,Haute-Saône,32,0
2020-06-08,Saône-et-Loire,99,7
2020-06-08,Yonne,55,5
2020-06-08,Territoire de Belfort,42,4
2020-06-09,Côte-d'Or,29,1
2020-06-09,Doubs,27,4
2020-06-09,Jura,20,0
2020-06-09,Nièvre,10,1
2020-06-09,Haute-Saône,25,0
2020-06-09,Saône-et-Loire,94,7
2020-06-09,Yonne,53,5
2020-06-09,Territoire de Belfort,41,4
2020-06-10,Côte-d'Or,30,1
2020-06-10,Doubs,26,4
2020-06-10,Jura,19,0
2020-06-10,Nièvre,10,1
2020-06-10,Haute-Saône,19,0
2020-06-10,Saône-et-Loire,80,7
2020-06-10,Yonne,50,5
2020-06-10,Territoire de Belfort,37,4
2020-06-11,Côte-d'Or,31,2
2020-06-11,Doubs,25,4
2020-06-11,Jura,20,1
2020-06-11,Nièvre,10,1
2020-06-11,Haute-Saône,19,0
2020-06-11,Saône-et-Loire,75,5
2020-06-11,Yonne,51,5
2020-06-11,Territoire de Belfort,37,4
2020-06-12,Côte-d'Or,31,2
2020-06-12,Doubs,25,4
2020-06-12,Jura,20,1
2020-06-12,Nièvre,10,1
2020-06-12,Haute-Saône,19,0
2020-06-12,Saône-et-Loire,61,5
2020-06-12,Yonne,33,4
2020-06-12,Territoire de Belfort,35,4
2020-06-13,Côte-d'Or,28,2
2020-06-13,Doubs,24,4
