jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-04-20,Yonne,5,1,3,3
2020-04-20,Territoire de Belfort,6,0,2,0
2020-04-21,Côte-d'Or,17,5,7,12
2020-04-21,Doubs,14,2,4,8
2020-04-21,Jura,1,0,2,15
2020-04-21,Nièvre,2,2,1,1
2020-04-21,Haute-Saône,3,0,0,3
2020-04-21,Saône-et-Loire,29,3,12,23
2020-04-21,Yonne,15,0,0,4
2020-04-21,Territoire de Belfort,5,1,2,15
2020-04-22,Côte-d'Or,10,2,1,12
2020-04-22,Doubs,11,3,0,10
2020-04-22,Jura,8,4,1,12
2020-04-22,Nièvre,2,0,2,2
2020-04-22,Haute-Saône,3,0,2,2
2020-04-22,Saône-et-Loire,43,2,2,25
2020-04-22,Yonne,28,5,2,13
2020-04-22,Territoire de Belfort,6,1,6,7
2020-04-23,Côte-d'Or,9,2,10,20
2020-04-23,Doubs,7,1,7,19
2020-04-23,Jura,5,1,3,11
2020-04-23,Nièvre,3,0,0,7
2020-04-23,Haute-Saône,4,0,1,4
2020-04-23,Saône-et-Loire,12,0,4,4
2020-04-23,Yonne,9,2,6,5
2020-04-23,Territoire de Belfort,2,0,1,4
2020-04-24,Côte-d'Or,13,0,12,34
2020-04-24,Doubs,10,2,0,11
2020-04-24,Jura,3,0,0,2
2020-04-24,Nièvre,3,1,0,3
2020-04-24,Haute-Saône,18,0,0,3
2020-04-24,Saône-et-Loire,13,1,5,22
2020-04-24,Yonne,4,0,1,8
2020-04-24,Territoire de Belfort,6,0,0,8
2020-04-25,Côte-d'Or,14,5,3,24
2020-04-25,Doubs,5,0,6,5
2020-04-25,Jura,5,2,0,8
2020-04-25,Nièvre,3,0,1,2
2020-04-25,Haute-Saône,0,0,3,0
2020-04-25,Saône-et-Loire,15,0,1,6
2020-04-25,Yonne,7,0,1,1
2020-04-25,Territoire de Belfort,1,0,1,9
2020-04-26,Côte-d'Or,1,0,4,3
2020-04-26,Doubs,11,3,1,2
2020-04-26,Jura,0,0,0,0
2020-04-26,Nièvre,0,0,0,0
2020-04-26,Haute-Saône,2,0,1,0
2020-04-26,Saône-et-Loire,5,1,2,2
2020-04-26,Yonne,2,0,2,2
2020-04-26,Territoire de Belfort,3,0,1,1
2020-04-27,Côte-d'Or,17,3,6,9
2020-04-27,Doubs,4,0,2,2
2020-04-27,Jura,2,2,1,2
2020-04-27,Nièvre,0,0,0,1
2020-04-27,Haute-Saône,1,0,0,13
2020-04-27,Saône-et-Loire,16,1,5,3
2020-04-27,Yonne,2,0,1,1
2020-04-27,Territoire de Belfort,0,0,2,1
2020-04-28,Côte-d'Or,6,1,2,7
2020-04-28,Doubs,6,3,1,5
2020-04-28,Jura,3,2,0,13
2020-04-28,Nièvre,1,1,0,2
2020-04-28,Haute-Saône,3,0,0,6
2020-04-28,Saône-et-Loire,31,2,3,14
2020-04-28,Yonne,6,1,1,5
2020-04-28,Territoire de Belfort,0,0,0,0
2020-04-29,Côte-d'Or,13,1,2,13
2020-04-29,Doubs,3,1,0,15
2020-04-29,Jura,2,0,0,3
2020-04-29,Nièvre,3,0,0,2
2020-04-29,Haute-Saône,2,0,2,3
2020-04-29,Saône-et-Loire,30,0,3,17
2020-04-29,Yonne,7,3,4,4
2020-04-29,Territoire de Belfort,11,2,2,14
2020-04-30,Côte-d'Or,17,4,1,14
2020-04-30,Doubs,6,2,2,11
2020-04-30,Jura,10,0,2,4
